
Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
344	2x	DNAseI_hypersensitive_site	2960.5	6132.6	3
345	2x	DNAseI_hypersensitive_site	7327.1	26042.4	3
346	2x	DNAseI_hypersensitive_site	14235.7	39693.2	3
347	2x	DNAseI_hypersensitive_site	6392.4	26976.2	3
348	2x	DNAseI_hypersensitive_site	4103.2	7661.4	3
349	2x	DNAseI_hypersensitive_site	12650.2	45162.5	3
350	2x	DNAseI_hypersensitive_site	2482.9	4596.5	3
351	2x	DNAseI_hypersensitive_site	7162.4	16888.4	3
352	2x	DNAseI_hypersensitive_site	6142.5	15325.0	3
353	2x	DNAseI_hypersensitive_site	3808.3	13092.9	3
354	2x	DNAseI_hypersensitive_site	4174.1	8161.8	3
355	2x	DNAseI_hypersensitive_site	8066.0	25355.7	3
356	2x	DNAseI_hypersensitive_site	5140.2	10217.8	3
357	2x	DNAseI_hypersensitive_site	4350.9	12754.4	3
358	2x	DNAseI_hypersensitive_site	3845.0	8851.8	3
359	2x	DNAseI_hypersensitive_site	3782.1	10550.4	3
360	2x	DNAseI_hypersensitive_site	3607.6	8109.2	3
361	2x	DNAseI_hypersensitive_site	18609.7	56402.1	3
362	2x	DNAseI_hypersensitive_site	16435.0	48691.8	3
363	2x	DNAseI_hypersensitive_site	7643.5	23115.5	3
364	2x	DNAseI_hypersensitive_site	3786.3	11749.1	3
365	2x	DNAseI_hypersensitive_site	5360.7	12966.1	3
366	2x	DNAseI_hypersensitive_site	11730.8	38295.4	3
367	2x	DNAseI_hypersensitive_site	3469.3	10423.7	3
368	2x	DNAseI_hypersensitive_site	2676.5	7037.6	3
369	2x	DNAseI_hypersensitive_site	1563.3	2194.0	3
370	2x	DNAseI_hypersensitive_site	3940.4	12790.4	3
371	2x	DNAseI_hypersensitive_site	5314.2	14835.9	3
372	2x	DNAseI_hypersensitive_site	2649.7	5302.5	3
373	2x	DNAseI_hypersensitive_site	3876.8	10245.5	3
374	2x	DNAseI_hypersensitive_site	6567.7	25533.7	3
375	2x	DNAseI_hypersensitive_site	6582.2	28935.5	3
376	2x	DNAseI_hypersensitive_site	1874.1	2504.1	3
377	2x	DNAseI_hypersensitive_site	5918.8	26324.5	3
378	2x	DNAseI_hypersensitive_site	7498.9	16759.0	3
379	2x	DNAseI_hypersensitive_site	14679.5	47136.1	3
380	2x	DNAseI_hypersensitive_site	7618.9	36937.2	3
381	2x	DNAseI_hypersensitive_site	8036.3	20139.6	3
382	2x	DNAseI_hypersensitive_site	3859.6	8845.7	3
383	2x	DNAseI_hypersensitive_site	11450.1	39317.3	3
384	2x	DNAseI_hypersensitive_site	4377.7	12200.5	3
385	2x	DNAseI_hypersensitive_site	10472.9	34141.5	3
386	2x	DNAseI_hypersensitive_site	6795.8	22187.3	3
387	2x	DNAseI_hypersensitive_site	3215.2	12427.6	3
388	2x	DNAseI_hypersensitive_site	3845.2	9981.1	3
389	2x	DNAseI_hypersensitive_site	10627.3	36026.0	3
390	2x	DNAseI_hypersensitive_site	10087.9	38914.9	3
391	2x	DNAseI_hypersensitive_site	1490.5	1889.4	3
392	2x	DNAseI_hypersensitive_site	1967.3	4829.4	3
393	2x	DNAseI_hypersensitive_site	4799.1	16675.6	3
394	2x	DNAseI_hypersensitive_site	1807.5	6307.9	3
395	2x	DNAseI_hypersensitive_site	5213.2	22530.9	3
396	2x	DNAseI_hypersensitive_site	13217.3	40183.9	3
