Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
620	3x	satellite	310.5	367.1	428
621	3x	satellite	222.2	294.5	429
622	3x	satellite	334.9	421.6	430
623	3x	satellite	299.0	456.7	431
624	3x	satellite	244.0	305.6	432
625	3x	satellite	309.0	291.4	433
626	3x	satellite	604.5	2315.3	433
627	3x	satellite	330.2	468.7	434
628	3x	satellite	317.4	378.3	435
629	3x	satellite	355.3	412.8	436
630	3x	satellite	338.8	449.7	437
631	3x	satellite	264.8	289.8	438
632	3x	satellite	499.5	2154.7	438
633	3x	satellite	498.4	1914.3	438
634	3x	satellite	786.8	2702.3	438
635	3x	satellite	247.1	272.3	439
636	3x	satellite	371.1	355.9	439
637	3x	satellite	292.5	352.4	440
638	3x	satellite	545.7	958.8	440
639	3x	satellite	300.8	286.8	441
640	3x	satellite	300.3	444.9	442
641	3x	satellite	218.6	291.6	443
642	3x	satellite	244.2	226.7	444
643	3x	satellite	297.0	322.8	445
644	3x	satellite	277.8	260.3	446
645	3x	satellite	316.9	333.9	447
646	3x	satellite	323.6	375.4	448
647	3x	satellite	1182.1	4212.0	448
648	3x	satellite	313.8	317.0	449
649	3x	satellite	567.3	1725.3	449
650	3x	satellite	528.7	1387.1	449
651	3x	satellite	492.7	973.1	449
652	3x	satellite	309.4	410.8	450
653	3x	satellite	263.0	295.3	451
654	3x	satellite	206.7	254.6	452
655	3x	satellite	199.6	218.5	453
656	3x	satellite	278.0	326.8	454
657	3x	satellite	320.5	329.6	455
658	3x	satellite	243.1	257.3	456
659	3x	satellite	285.0	330.9	457
660	3x	satellite	361.1	425.1	457
661	3x	satellite	349.1	407.8	458
662	3x	satellite	340.6	315.6	459
663	3x	satellite	195.7	211.3	460
664	3x	satellite	302.4	425.3	461
665	3x	satellite	423.5	471.7	461
666	3x	satellite	352.4	338.8	462
667	3x	satellite	281.2	277.6	463
668	3x	satellite	234.9	252.4	464
669	3x	satellite	306.5	365.3	465
670	3x	satellite	322.7	342.1	466
671	3x	satellite	251.9	415.5	467
672	3x	satellite	262.2	372.2	468
673	3x	satellite	301.5	284.2	469
674	3x	satellite	352.3	392.2	470
675	3x	satellite	397.8	542.3	470
676	3x	satellite	580.9	1978.6	470
677	3x	satellite	358.1	358.5	470
678	3x	satellite	322.2	446.5	471
679	3x	satellite	274.0	331.3	472
680	3x	satellite	289.0	406.3	473
681	3x	satellite	322.1	365.3	474
682	3x	satellite	177.2	159.0	475
683	3x	satellite	352.6	386.2	476
684	3x	satellite	279.0	251.5	477
685	3x	satellite	279.6	275.3	478
686	3x	satellite	374.2	461.3	478
687	3x	satellite	663.4	2741.4	478
688	3x	satellite	301.0	334.5	479
689	3x	satellite	544.3	1422.3	479
690	3x	satellite	353.9	412.2	480
691	3x	satellite	327.3	458.5	481
692	3x	satellite	323.5	390.8	482
693	3x	satellite	291.5	374.6	483
694	3x	satellite	340.7	725.9	484
695	3x	satellite	262.3	243.3	485
696	3x	satellite	260.2	351.4	486
697	3x	satellite	230.9	286.8	487
698	3x	satellite	278.0	362.1	488
699	3x	satellite	269.9	305.6	489
700	3x	satellite	414.1	481.7	489
701	3x	satellite	295.0	303.8	490
702	3x	satellite	353.8	408.8	491
703	3x	satellite	273.7	333.8	492
704	3x	satellite	376.9	675.9	492
705	3x	satellite	307.2	381.7	493
706	3x	satellite	278.2	418.7	494
707	3x	satellite	361.2	368.5	494
708	3x	satellite	256.2	311.6	495
709	3x	satellite	243.8	249.8	496
